network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2405:b500:3860::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3860:10::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3860:18::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2406:840:fed8::/48,China,CN,Asia,AS,AS142642,Atonal System,icloud.com,unknown
2600:70ff:a6de::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:a7a2::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:a88b::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:abc6::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:d0b6::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2602:f54e:1::/48,China,CN,Asia,AS,AS402004,"Rui Sun, Sole Proprietorship",icloud.com,unknown
2602:f54e:2::/48,United States,US,North America,NA,AS402004,"Rui Sun, Sole Proprietorship",icloud.com,unknown
2602:f92a:1314::/48,China,CN,Asia,AS,AS204518,Shiyu Zhou,icloud.com,unknown
2602:f9a9:102::/48,Japan,JP,Asia,AS,AS63008,SIMPLE CLOUD SOLUTION LLC,haeimalan.com,unknown
2602:f9a9:103::/48,Taiwan,TW,Asia,AS,AS63008,SIMPLE CLOUD SOLUTION LLC,haeimalan.com,unknown
2602:f9a9:201::/48,United States,US,North America,NA,AS63008,SIMPLE CLOUD SOLUTION LLC,haeimalan.com,unknown
2602:f9a9:301::/48,United States,US,North America,NA,AS397968,SIMPLE CLOUD SOLUTION LLC,icloud.com,unknown
2602:fafd:f04::/64,United States,US,North America,NA,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:1::/64,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:2::/63,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:4::/62,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:8::/61,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:10::/60,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:20::/59,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:40::/58,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:80::/57,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:100::/56,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:200::/55,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:400::/54,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:800::/53,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:1000::/52,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:2000::/51,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:4000::/50,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:8000::/49,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2606:54c0:4130::/44,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c0:4140::/45,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c3:0:7c6::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c3:0:1754::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c3:0:1847::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2620:109:c001::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:109:c002::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:109:c003::/48,United States,US,North America,NA,AS40793,LinkedIn Corporation,linkedin.com,unknown
2620:109:c006::/48,United States,US,North America,NA,AS55163,LinkedIn Corporation,linkedin.com,unknown
2620:109:c00a::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:5000::/42,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5041::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5043::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5044::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5053::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5070::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5073::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5074::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:50c0::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
